"match_id","team_id","home_away","goals","xG"
373,75,"h",1,0.8467708081007
373,86,"a",0,0.520137229468673
374,72,"h",0,0.58617059327662
374,83,"a",2,1.92383748665452
375,75,"a",1,1.2031533010304
375,78,"h",0,0.784338502213359
376,80,"h",2,2.14609130844474
376,81,"a",2,0.86282760463655
377,85,"a",2,1.58145116269588
377,90,"h",1,0.879461888223886
378,76,"h",0,0.332789590582251
378,79,"a",1,0.799255110323429
379,71,"a",0,0.730828698724509
379,84,"h",1,0.490468900650739
380,74,"h",3,1.79793160501868
380,87,"a",2,1.30445349216461
381,77,"a",1,0.787636691704392
381,86,"h",1,0.948043791577219
382,88,"h",0,1.86248910240829
382,89,"a",1,0.90031237155199
383,73,"a",0,0.120365902781487
383,82,"h",3,2.03826799243689
384,71,"h",0,0.725398403592408
384,80,"a",4,2.52438259869814
385,83,"h",4,3.23045637086034
385,90,"a",0,0.290618803352118
386,73,"h",0,1.32390209101141
386,88,"a",4,0.868303986266256
387,79,"h",3,1.65216231532395
387,86,"a",2,1.46835112012922
388,84,"a",2,0.431900495663285
388,85,"h",2,1.17597721517086
389,76,"a",0,0.0637913988903164
389,77,"h",0,1.55098657868802
390,78,"a",2,1.66207611560822
390,81,"h",2,1.71524978801608
391,82,"a",1,1.23578750528395
391,87,"h",1,1.3847836907953
392,74,"a",0,0.671306483447552
392,75,"h",1,1.38701179437339
393,72,"a",0,0.755625985562802
393,89,"h",1,0.998691392131149
394,81,"h",3,1.1193986851722
394,83,"a",3,1.46966250054538
395,72,"a",1,1.63134919852018
395,90,"h",0,0.409825194627046
396,74,"h",3,1.83478147909045
396,86,"a",1,0.165982051752508
397,80,"a",0,1.33548799902201
397,84,"h",1,1.90880607441068
398,71,"h",1,0.220871699973941
398,73,"a",2,1.00379689689726
399,78,"h",1,1.46655627992004
399,79,"a",0,0.675663306377829
400,76,"a",1,1.11280140653253
400,88,"h",2,2.17780755832791
401,75,"a",2,2.60072680935264
401,77,"h",0,0.874279608018696
402,82,"h",3,1.7964662797749
402,89,"a",0,0.341237797401845
403,85,"a",1,0.855080402456224
403,87,"h",4,2.21483143419028
404,72,"a",0,0.759269101545214
404,78,"h",0,1.59117949567735
405,77,"a",3,1.99747580476105
405,79,"h",0,1.09263179358095
406,71,"a",0,0.2624267982319
406,89,"h",1,1.09126932173967
407,72,"h",1,0.319669298827649
407,74,"a",1,1.39266429841518
408,84,"a",0,0.787081306800246
408,86,"h",3,1.5335435308516
409,76,"h",0,2.34781582653523
409,90,"a",1,0.364851798862219
410,80,"h",0,0.487714996561408
410,88,"a",3,2.62767971307039
411,75,"h",2,1.95296506583691
411,81,"a",2,1.5699545070529
412,73,"h",1,0.864284221082926
412,87,"a",2,1.90219022333622
413,78,"a",1,0.275805791839957
413,83,"h",1,1.73461443930864
414,82,"a",4,2.89826596155763
414,85,"h",0,0.458375500515103
415,86,"h",1,0.469881702214479
415,88,"a",1,0.52204311080277
416,81,"h",3,3.96294043026865
416,90,"a",1,1.22333090379834
417,78,"a",0,0.137416202574968
417,89,"h",1,1.71303107589483
418,72,"a",0,0.0886328984051942
418,87,"h",4,3.24822237342596
419,76,"a",0,0.839742527343333
419,83,"h",2,1.37347879447043
420,85,"a",0,1.09368079900742
420,88,"h",4,2.2248210273683
421,71,"h",2,1.48216613382101
421,74,"a",4,3.66907709464431
422,73,"h",1,0.575087109580636
422,80,"a",4,2.07278110086918
423,86,"a",2,0.253032701089978
423,87,"h",2,0.712881516665221
424,77,"h",0,0.618293995037675
424,83,"a",0,0.973030608147383
425,75,"h",4,3.8466128334403
425,84,"a",0,0.57645726390183
426,76,"a",1,0.897315509617328
426,82,"h",0,1.27031638845801
427,77,"a",1,1.43267227709293
427,85,"h",1,0.684869010001422
428,78,"a",0,1.05259342119098
428,86,"h",1,0.534069927409291
429,72,"h",2,0.952809482812881
429,73,"a",1,1.4283754946664
430,71,"a",2,0.491792399436236
430,90,"h",3,1.36695380602032
431,76,"h",0,1.72145263943821
431,81,"a",3,1.27183021232486
432,79,"a",0,0.578781999647618
432,83,"h",1,0.781508195213973
433,84,"h",3,2.3428143914789
433,87,"a",1,0.77618639729917
434,75,"a",1,1.16621979139745
434,89,"h",1,1.1852973792702
435,74,"h",4,2.96047960221768
435,88,"a",2,1.12719302438199
436,80,"h",2,0.816610982641577
436,82,"a",2,1.91013745218515
437,79,"h",0,1.36824731528759
437,89,"a",1,1.48343988694251
438,78,"h",2,1.31447881087661
438,85,"a",1,1.2776635158807
439,81,"h",0,2.82821292802692
439,84,"a",4,2.48500279709697
440,71,"h",0,0.0312154004350305
440,86,"a",0,1.09626319259405
441,73,"h",1,0.816876301541924
441,76,"a",1,1.34450599551201
442,77,"h",3,0.773876706138254
442,80,"a",2,1.77676902711391
443,72,"a",1,1.30184339825064
443,75,"h",3,4.51156732439994
444,74,"a",2,1.30844973027706
444,82,"h",1,2.56110330391675
445,87,"h",2,2.4472846351564
445,90,"a",0,0.936693659983576
446,83,"a",2,1.08083459734917
446,88,"h",2,0.753750011324884
447,81,"h",3,2.13447192125022
447,89,"a",2,0.635987399145961
448,79,"h",3,2.46959713473916
448,90,"a",2,1.77119152341038
449,72,"a",0,1.16562889609486
449,77,"h",3,2.4488695897162
450,80,"a",1,0.812267913483083
450,87,"h",1,1.84357341565192
451,71,"a",0,0.222730699926615
451,83,"h",3,3.40206858515739
452,75,"a",1,1.23490829672664
452,80,"h",1,1.86065091751516
453,72,"h",3,2.40774812921882
453,79,"a",0,0.430159887298942
454,82,"a",1,0.8690818939358
454,86,"h",5,2.43894501030445
455,74,"h",4,2.32277866825461
455,78,"a",1,1.25318907480687
456,81,"a",1,2.95403977576643
456,85,"h",2,0.288736247923225
457,84,"h",1,0.115603598766029
457,88,"a",1,2.39294347725809
458,77,"a",2,0.90881609916687
458,90,"h",2,1.95375679526478
459,76,"h",1,1.88890688214451
459,87,"a",1,0.41987720131874
460,73,"a",0,0.503471706062555
460,89,"h",3,1.721087442711
461,75,"a",1,2.67126323282719
461,91,"h",2,0.758257495239377
462,76,"a",1,0.686267897486686
462,78,"h",0,0.991743019782007
463,72,"h",1,0.790061911568045
463,82,"a",1,1.14296219311655
464,84,"a",1,1.75275553949177
464,92,"h",0,1.05142288841307
465,85,"a",1,0.485625489614904
465,93,"h",1,1.80522671341896
466,74,"h",1,0.940010990947485
466,90,"a",1,0.180045999586582
467,77,"a",1,1.09876651875675
467,88,"h",1,1.95479516685009
468,73,"h",1,0.523826405405999
468,89,"a",3,2.10381907224655
469,83,"h",3,1.18196820653975
469,87,"a",4,1.68472720310092
470,80,"h",2,1.46029638871551
470,81,"a",1,0.450523894280196
471,74,"a",0,0.61323269456625
471,89,"h",2,1.367302140221
472,85,"h",1,1.31146120093763
472,88,"a",4,2.17197723500431
473,87,"a",0,0.939024586230517
473,92,"h",2,0.197536107152701
474,84,"h",0,1.14134048856795
474,91,"a",2,2.2983627691865
475,78,"a",0,0.357942996546627
475,82,"h",1,2.35031505580992
476,80,"a",2,1.76756579987705
476,90,"h",1,0.804548287764191
477,72,"a",2,1.85073088482022
477,76,"h",1,2.01885326579213
478,75,"h",0,0.553692305460573
478,83,"a",0,0.523087706416845
479,77,"h",1,1.46449813060462
479,93,"a",2,0.854907192289829
480,73,"a",0,0.398118000477553
480,81,"h",1,1.6928791012615
481,82,"h",1,0.59051100537181
481,87,"a",1,1.92569112032652
482,83,"a",3,2.03786796331406
482,90,"h",1,1.09810650534928
483,75,"h",2,2.8522167056799
483,84,"a",1,0.328179890289903
484,74,"h",1,0.613742507994175
484,77,"a",1,1.39142060279846
485,80,"h",3,2.65837409347296
485,92,"a",0,0.184489596635103
486,73,"a",1,0.974014615640045
486,78,"h",1,2.70635919831693
487,72,"h",0,2.31835234165192
487,85,"a",0,0.187415101565421
488,89,"a",1,2.49172920919955
488,91,"h",0,0.268815297633409
489,76,"h",0,0.700310304760934
